,segment,users,date
0,Dynamic Segment,560487,5/2019
1,Dynamic Segment,666771,6/2019
2,Dynamic Segment,731382,7/2019
3,Dynamic Segment,708269,8/2019
4,Dynamic Segment,646460,9/2019
5,Dynamic Segment,684806,10/2019
6,Dynamic Segment,656790,11/2019
7,Dynamic Segment,663094,12/2019
8,Dynamic Segment,802997,1/2020
9,Dynamic Segment,719650,2/2020
