day,desktop,mobile,all
06/10/18,55.27866560127846,44.72133439872154,20024
06/17/18,54.59373340414233,45.40626659585767,18830
06/24/18,54.61843457829556,45.38156542170444,20429
07/01/18,54.998760842627014,45.001239157372986,20175
07/08/18,48.39988341591373,51.60011658408627,17155
07/15/18,54.37306824826664,45.62693175173336,23942
07/22/18,54.951771162481286,45.048228837518714,24052
07/29/18,55.01583949313622,44.98416050686378,24622
08/05/18,29.56883613044072,70.43116386955928,73290
08/12/18,49.24425364457562,50.75574635542438,33543
08/19/18,49.502461135309325,50.497538864690675,28239
08/26/18,50.434436318876266,49.56556368112374,27622
09/02/18,49.01816396661757,50.98183603338242,24444
09/09/18,30.551788438718425,69.44821156128157,47192
09/16/18,50.6453030726815,49.3546969273185,25027
09/23/18,36.69957176461127,63.30042823538873,49739
09/30/18,51.695706285003105,48.30429371499689,25712
10/07/18,53.629271408367174,46.37072859163283,21919
10/14/18,51.58464723682115,48.415352763178845,18837
10/21/18,57.658375850340136,42.341624149659864,18816
