day,desktop,mobile,all
06/10/18,71.23445949068726,28.765540509312753,21637
06/17/18,68.81089773909753,31.18910226090247,21142
06/24/18,67.4770163965501,32.52298360344991,21102
07/01/18,68.48992197659298,31.510078023407022,24608
07/08/18,67.47456153806822,32.525438461931785,19557
07/15/18,70.61199669895322,29.388003301046776,23023
07/22/18,69.45802154072408,30.54197845927592,23119
07/29/18,70.06573331056855,29.93426668943145,23428
08/05/18,70.07024586051179,29.929754139488207,23916
08/12/18,71.43933330194454,28.560666698055464,21239
08/19/18,69.62080361802052,30.379196381979472,22996
08/26/18,70.31387639668041,29.68612360331958,21569
09/02/18,66.78859176511295,33.21140823488705,20231
09/09/18,67.76098132030336,32.23901867969665,19647
09/16/18,68.80910930221616,31.19089069778384,21253
09/23/18,67.30699692641475,32.693003073585245,22124
09/30/18,71.5661071626594,28.43389283734059,19839
10/07/18,69.92106356460323,30.07893643539676,19256
10/14/18,67.9377038636468,32.0622961363532,21767
10/21/18,75.83279348085513,24.167206519144873,29329
