day,desktop,mobile,all
06/10/18,68.15098189237439,31.849018107625604,19605
06/17/18,67.67531750414136,32.32468249585864,18110
06/24/18,68.21728395061729,31.782716049382714,20250
07/01/18,69.02080361973148,30.97919638026853,20333
07/08/18,65.76898679430252,34.23101320569748,17341
07/15/18,69.1415313225058,30.8584686774942,20257
07/22/18,67.67833729908222,32.321662700917784,20593
07/29/18,66.97210978159335,33.027890218406654,22481
08/05/18,68.29004837270465,31.709951627295357,21293
08/12/18,67.91764155357978,32.082358446420216,21370
08/19/18,67.91451520367183,32.08548479632817,20916
08/26/18,66.54352792495017,33.45647207504982,20573
09/02/18,66.06790367153573,33.932096328464276,20264
09/09/18,65.0689689391684,34.9310310608316,20154
09/16/18,62.9602082558572,37.0397917441428,18823
09/23/18,65.3413072933701,34.658692706629914,21403
09/30/18,68.41190108191654,31.588098918083464,20704
10/07/18,65.53814786994313,34.461852130056876,18638
10/14/18,66.211943793911,33.788056206088996,17080
10/21/18,66.04437382965442,33.95562617034557,17623
