day,desktop,mobile,all
06/10/18,67.02028081123245,32.979719188767554,3205
06/17/18,67.0145359672009,32.98546403279911,2683
06/24/18,63.32726168791743,36.67273831208257,3294
07/01/18,65.37894426422885,34.62105573577116,3391
07/08/18,65.61160567095286,34.38839432904715,3033
07/15/18,72.58793969849246,27.41206030150754,3980
07/22/18,69.76190476190476,30.238095238095237,4200
07/29/18,67.82041635314772,32.17958364685227,3987
08/05/18,67.98103319191415,32.01896680808585,4007
08/12/18,65.83315369691744,34.16684630308256,4639
08/19/18,65.38046992886399,34.619530071136026,4639
08/26/18,59.15854284248332,40.84145715751667,3898
09/02/18,57.89772727272727,42.10227272727273,3520
09/09/18,57.537688442211056,42.462311557788944,3184
09/16/18,66.92420897718911,33.07579102281089,2718
09/23/18,70.0,30.0,3020
09/30/18,65.35104364326376,34.64895635673624,2635
10/07/18,67.62832521543649,32.37167478456351,2669
10/14/18,70.50960735171262,29.490392648287383,2394
10/21/18,65.17857142857143,34.82142857142857,2464
