day,desktop,mobile,all
06/10/18,64.95687698592828,35.04312301407172,4406
06/17/18,65.03357373787615,34.96642626212385,4021
06/24/18,60.64762761412188,39.35237238587812,4447
07/01/18,63.231956423059465,36.768043576940535,4406
07/08/18,64.53624318004677,35.46375681995323,3849
07/15/18,65.60676192392836,34.39323807607164,4969
07/22/18,62.61382799325463,37.38617200674536,5930
07/29/18,63.53848914408756,36.46151085591243,5573
08/05/18,64.1677897574124,35.83221024258761,5936
08/12/18,60.39321388932931,39.60678611067068,6307
08/19/18,61.991099390143404,38.008900609856596,6067
08/26/18,64.28439177930014,35.71560822069987,5401
09/02/18,59.217999126256004,40.782000873743996,4578
09/09/18,63.77422072451559,36.22577927548441,3561
09/16/18,60.982119028556184,39.017880971443816,3747
09/23/18,64.71238938053098,35.28761061946903,3616
09/30/18,65.81401545430322,34.185984545696776,3753
10/07/18,56.31526603679762,43.68473396320239,4022
10/14/18,65.35671100362757,34.643288996372426,3308
10/21/18,60.42014004668223,39.57985995331777,2999
