day,desktop,mobile,all
06/10/18,76.17656604998378,23.82343395001623,3081
06/17/18,78.45020813320525,21.54979186679475,3123
06/24/18,77.29204614450515,22.70795385549484,3294
07/01/18,76.48037258815702,23.51962741184298,3006
07/08/18,77.27431160683165,22.72568839316835,2869
07/15/18,74.46321213856284,25.536787861437162,3493
07/22/18,75.2742087120025,24.72579128799749,3191
07/29/18,75.46045503791983,24.53954496208017,3692
08/05/18,71.92319798552094,28.076802014479068,3177
08/12/18,70.43686415320167,29.56313584679832,3342
08/19/18,75.85557299843015,24.14442700156986,3185
08/26/18,71.41092929916641,28.58907070083359,3239
09/02/18,75.10944340212633,24.89055659787367,3198
09/09/18,69.56521739130434,30.434782608695656,3404
09/16/18,77.80869565217391,22.191304347826087,2875
09/23/18,78.16353017521091,21.8364698247891,3082
09/30/18,78.89753128170443,21.10246871829557,2957
10/07/18,77.37827715355805,22.621722846441948,2670
10/14/18,71.5989563920984,28.401043607901606,2683
10/21/18,76.2119503945885,23.788049605411498,3548
