day,desktop,mobile,all
06/10/18,56.20986602857877,43.79013397142123,295884
06/17/18,56.405150133605595,43.594849866394405,296769
06/24/18,55.968278415887006,44.031721584112994,305155
07/01/18,55.79098657167236,44.20901342832764,308229
07/08/18,53.943883478462276,46.05611652153773,267693
07/15/18,55.20264975933458,44.79735024066542,348409
07/22/18,55.74367412940989,44.25632587059011,351256
07/29/18,55.59319724183042,44.406802758169576,366910
08/05/18,51.712719378932256,48.28728062106774,407685
08/12/18,55.56242651463052,44.437573485369484,360616
08/19/18,55.87752576970122,44.122474230298785,354001
08/26/18,55.4150411820165,44.584958817983505,361687
09/02/18,53.13486267434201,46.86513732565799,349170
09/09/18,50.65684509653997,49.343154903460025,332194
09/16/18,52.41900270718715,47.58099729281285,343530
09/23/18,51.402456504002295,48.597543495997705,362792
09/30/18,53.75132350666809,46.24867649333191,336228
10/07/18,54.06248807115318,45.93751192884682,314364
10/14/18,52.684790867241716,47.31520913275828,313246
10/21/18,55.48683681992361,44.51316318007638,313678
